shop_id,item_id,product_name,brand,review_count,avg_rating,avg_review_len,reply_count,reply_rate
FPTShop,476882311885,Lenovo ThinkPad E14 Gen 7 Core 5-210H (21T90023VN),Apple,5,5.0,272.8,0,0.0
FPTShop,477960426837,Lenovo Yoga Pro 7 14ASP9 R9 AI 365 (83HN0022VN),Oppo,6,4.667,57.83,0,0.0
FPTShop,479469916693,HP OmniBook 7 Aero 13-bg1087AU Ryzen AI 5 340 (BZ7S1PA),Apple,5,4.6,61.4,0,0.0
FPTShop,480145836077,Acer Aspire Lite AL16-51P-55N7,Oppo,6,4.0,87.83,0,0.0
FPTShop,480493715587,Acer Gaming Predator Helios 16 AI PH16-73-93HD Ultra 9 275HX,Apple,5,5.0,114.8,0,0.0
FPTShop,480811538353,Macbook Air M2 13 2022 8CPU 10GPU/16GB/256GB,Oppo,12,4.5,71.17,0,0.0
FPTShop,482096826469,HP 15-fd1289TU Ultra 7-155H (C2CV8PA),Apple,5,4.6,106.6,0,0.0
FPTShop,482531628622,Asus Vivobook S3607VA-RP056W i7-13620H,Apple,5,5.0,235.8,0,0.0
FPTShop,487114330242,Lenovo Gaming Legion 5 15IRX10 i7 14700HX (83LY00A7VN),Apple,5,5.0,70.8,1,0.2
FPTShop,491057311302,Asus TUF Gaming F16 FX607VJ-RL034W Core 5-210H,Apple,5,5.0,126.8,0,0.0
FPTShop,493461034398,Lenovo V15 G4 AMN R5 7520U (82YU016SVN),Oppo,6,4.667,69.67,0,0.0
FPTShop,495501929344,Dell 15 DC15250 i7 1355U_71073959,Apple,5,4.8,93.8,0,0.0
FPTShop,501684730092,MacBook Pro 14 inch M5 2025 10CPU/10GPU/32GB/512GB 96W Nano,Apple,6,4.833,112.0,0,0.0
FPTShop,503757932778,Asus Zenbook 14 UM3406KA-PP113WS Ryzen AI 7 350,Apple,5,5.0,210.0,0,0.0
FPTShop,504416212194,Lenovo ThinkPad X1 2-in-1 Gen 10 U7 258V (21NU004TVN),Apple,5,5.0,277.6,0,0.0
FPTShop,506319927985,Dell Inspiron 15 3530 i7 1355U_71053721,Dell,6,5.0,122.67,0,0.0
FPTShop,509326125591,Dell Inspiron 15 3520 i5 1235U_71071952,Oppo,5,5.0,192.4,0,0.0
FPTShop,510107135919,HP 245 G10 R5 7520U (8F154PA),Oppo,6,4.833,39.33,0,0.0
FPTShop,510107136292,HP 15-fd0083TU i7 1355U (8D736PA),Apple,6,5.0,36.83,0,0.0
FPTShop,510107136665,HP Gaming Victus 16-s0078AX R5 7640HS (8C5N7PA),Oppo,6,4.667,95.5,0,0.0
FPTShop,510107136851,HP Pavilion 15-eg3111TU i5 1335U (8U6L8PA),Oppo,6,4.667,108.83,1,0.1667
FPTShop,510107137037,HP Pavilion 15-eg3112TU i7 1355U (8U6L9PA),Oppo,6,4.667,104.33,0,0.0
FPTShop,510107137783,HP Pavilion Aero 13-be2098AU R7 7735U (8C5K5PA),Oppo,6,4.667,99.33,0,0.0
FPTShop,511945717052,Macbook Air M3 13 2024 8CPU 10GPU/8GB/512GB,Oppo,12,4.75,59.5,0,0.0
FPTShop,512115025125,HP 14-ep0220TU i3-1315U_B73VWPA,Apple,6,4.833,59.67,0,0.0
FPTShop,514499031698,Asus TUF Gaming F16 FX608JHR-RV037W i7-14650HX,Apple,5,5.0,182.6,1,0.2
FPTShop,516050834544,Lenovo Legion 5 15IRX10 i7-13650HX (83LY00HQVN),Apple,5,5.0,114.2,0,0.0
FPTShop,516945739254,Acer Swift 14 AI SF14-51-75VP Ultra 7 258V,Apple,5,5.0,130.2,0,0.0
FPTShop,517383317489,MSI Gaming Katana 15 B13UDXK-2410VN i5-13420H,Apple,5,5.0,99.2,0,0.0
FPTShop,517422712361,Dell 16 DC16250 Core 7 150U_C7U161W11BLU,Apple,5,4.6,82.0,0,0.0
FPTShop,519371037752,Asus Gaming ROG Zephyrus G16 GU605CM-QR078W Ultra 9-285H,Apple,5,5.0,266.8,0,0.0
FPTShop,523926114094,Macbook Air 13 M4 2025 10CPU/10GPU/24GB/256GB,Oppo,5,4.6,117.6,0,0.0
FPTShop,525284611762,Lenovo Yoga Book 9 13IMU9 ULTRA 7 155U (83FF001SVN),Oppo,6,4.0,74.5,0,0.0
FPTShop,526108727107,Lenovo Gaming LOQ 15IRX10 i7 13650HX (83JE006PVN),Apple,5,5.0,75.2,0,0.0
FPTShop,528007133007,Macbook Air 13 M4 2025 10CPU/8GPU/16GB/256GB,Apple,7,4.714,72.0,1,0.1429
FPTShop,528517525916,MacBook Pro 14 M4 Pro 2024 12CPU/16GPU/24GB/512GB,Oppo,5,4.2,87.6,0,0.0
FPTShop,530771331056,Asus Vivobook S14 S3407VA-LY053W i7-13620H,Apple,5,5.0,207.6,0,0.0
FPTShop,532281614164,Asus Vivobook M1605YA-MB303W R7 7730U,Oppo,7,5.0,145.0,0,0.0
FPTShop,532677156416,Asus Vivobook X1404ZA-NK075W i3 1215U,Oppo,19,5.0,112.42,11,0.5789
FPTShop,534146642274,Lenovo V14 G4 IRU I5-13420H (83A000FQVN),Oppo,6,4.833,75.67,0,0.0
FPTShop,543667370881,MSI Creator M16 B13VE-830VN i7 13700H,Oppo,7,4.857,62.29,0,0.0
FPTShop,543667372186,MSI Gaming Raider GE68HX 13VF-050VN i7 13700HX,Oppo,6,5.0,62.17,0,0.0
FPTShop,543667449699,Gigabyte Gaming G5 MF-F2VN313SH i5 12450H,Oppo,7,4.857,62.29,0,0.0
FPTShop,543667449885,Asus Vivobook E1504FA-NJ426W R3 7320U,Oppo,41,5.0,128.95,20,0.4878
FPTShop,543667454543,Asus Gaming ROG Strix G614JU-N3777W i7 13650HX,Oppo,8,5.0,113.38,0,0.0
FPTShop,543667461065,MacBook Air 15 M2 2023 8CPU 10GPU/8GB/256GB,Oppo,12,4.333,53.17,0,0.0
FPTShop,543667601371,MSI Modern 14 C13M-612VN i5 1335U,Oppo,6,4.833,66.0,0,0.0
FPTShop,543667801489,Asus TUF Gaming FX507ZC4-HN095W i5 12500H,Oppo,118,5.0,130.6,16,0.1356
FPTShop,543667851798,VAIO FE14 i5 1235U (VWNC51427-BK),Oppo,6,4.833,90.83,0,0.0
FPTShop,543667874158,Lenovo IdeaPad Slim 5 16IAH8 i5 12450H (83BG001XVN),Oppo,6,4.667,54.83,0,0.0
FPTShop,543668003843,MSI Modern 14 C12MO-660VN i5 1235U,Oppo,9,4.667,55.0,0,0.0
FPTShop,543668006266,Acer Swift Edge SFA16-41-R3L6 R7 6800U (NX.KABSV.002),Oppo,7,4.714,174.14,0,0.0
FPTShop,543668006638,Acer Swift 3 SF314-512-741L i7 1260P (NX.K7JSV.001),Oppo,6,4.833,80.5,0,0.0
FPTShop,543668596372,Huawei MateBook D15 R7 5700U,Oppo,6,4.833,66.0,0,0.0
FPTShop,543668597676,Huawei MateBook D14 BE i3 1215U,Oppo,6,5.0,66.0,0,0.0
FPTShop,543668642768,MSI Gaming Vector GP77 13VG-043VN i7 13700H,Oppo,6,4.667,54.17,0,0.0
FPTShop,544356824135,Lenovo Yoga Slim 7 14IMH9 U5 125H (83CV00AHVN),Apple,5,4.8,76.2,0,0.0
